date_floor,country,group,direction,volume_mln_m3
2021-12-01,Russia,Cross-border points,Entry,109.1208877
2021-12-02,Russia,Cross-border points,Entry,109.47101
2021-12-03,Russia,Cross-border points,Entry,109.7030028
2021-12-04,Russia,Cross-border points,Entry,109.4058355
2021-12-05,Russia,Cross-border points,Entry,109.2851858
2021-12-06,Russia,Cross-border points,Entry,109.2259222
2021-12-07,Russia,Cross-border points,Entry,109.9130876
2021-12-08,Russia,Cross-border points,Entry,109.932259
2021-12-09,Russia,Cross-border points,Entry,108.6600785
2021-12-10,Russia,Cross-border points,Entry,109.9011504
2021-12-11,Russia,Cross-border points,Entry,109.68511459999999
2021-12-12,Russia,Cross-border points,Entry,109.51551479999999
2021-12-13,Russia,Cross-border points,Entry,109.7530915
2021-12-14,Russia,Cross-border points,Entry,109.61113909999999
2021-12-15,Russia,Cross-border points,Entry,109.82381790000001
2021-12-16,Russia,Cross-border points,Entry,109.5186001
2021-12-17,Russia,Cross-border points,Entry,109.2687185
2021-12-18,Russia,Cross-border points,Entry,109.7824241
2021-12-19,Russia,Cross-border points,Entry,109.4952611
2021-12-20,Russia,Cross-border points,Entry,109.0044441
2021-12-21,Russia,Cross-border points,Entry,104.45245729999999
2021-12-22,Russia,Cross-border points,Entry,104.3671403
2021-12-23,Russia,Cross-border points,Entry,93.743034
2021-12-24,Russia,Cross-border points,Entry,89.8897834
2021-12-25,Russia,Cross-border points,Entry,88.1064485
2021-12-26,Russia,Cross-border points,Entry,90.844356200000007
2021-12-27,Russia,Cross-border points,Entry,89.2999887
2021-12-28,Russia,Cross-border points,Entry,91.89361459999999
2021-12-29,Russia,Cross-border points,Entry,99.323329
2021-12-30,Russia,Cross-border points,Entry,103.6249693
2021-12-31,Russia,Cross-border points,Entry,103.6446634
2022-01-01,Russia,Cross-border points,Entry,76.13515361
2022-01-02,Russia,Cross-border points,Entry,61.422259409999995
2022-01-03,Russia,Cross-border points,Entry,52.25544621
2022-01-04,Russia,Cross-border points,Entry,50.61388211
2022-01-05,Russia,Cross-border points,Entry,53.045317909999994
2022-01-06,Russia,Cross-border points,Entry,48.698464810000004
2022-01-07,Russia,Cross-border points,Entry,47.83954001
2022-01-08,Russia,Cross-border points,Entry,46.88580611
2022-01-09,Russia,Cross-border points,Entry,47.156917310000004
2022-01-10,Russia,Cross-border points,Entry,51.07033071
2022-01-11,Russia,Cross-border points,Entry,48.96355081
2022-01-12,Russia,Cross-border points,Entry,56.693722310000005
2022-01-13,Russia,Cross-border points,Entry,55.67904251
2022-01-14,Russia,Cross-border points,Entry,50.01254891
2022-01-15,Russia,Cross-border points,Entry,46.04639781
2022-01-16,Russia,Cross-border points,Entry,46.51066021
2022-01-17,Russia,Cross-border points,Entry,47.55863461
2022-01-18,Russia,Cross-border points,Entry,43.589866210000004
2022-01-19,Russia,Cross-border points,Entry,43.687477310000006
2022-01-20,Russia,Cross-border points,Entry,43.199312739999996
2022-01-21,Russia,Cross-border points,Entry,48.12350681
2022-01-22,Russia,Cross-border points,Entry,44.68449561
2022-01-23,Russia,Cross-border points,Entry,43.85568501
2022-01-24,Russia,Cross-border points,Entry,58.12066731
2022-01-25,Russia,Cross-border points,Entry,60.12623001
2022-01-26,Russia,Cross-border points,Entry,72.38865411
2022-01-27,Russia,Cross-border points,Entry,71.77472531000001
2022-01-28,Russia,Cross-border points,Entry,65.57037221
2022-01-29,Russia,Cross-border points,Entry,59.86036051000001
2022-01-30,Russia,Cross-border points,Entry,58.47718501
2022-01-31,Russia,Cross-border points,Entry,64.85165347
2022-02-01,Russia,Cross-border points,Entry,106.8783554
2022-02-02,Russia,Cross-border points,Entry,92.5954405
2022-02-03,Russia,Cross-border points,Entry,81.8270908
2022-02-04,Russia,Cross-border points,Entry,82.36519009999999
2022-02-05,Russia,Cross-border points,Entry,89.00595215000001
2022-02-06,Russia,Cross-border points,Entry,93.2281885
2022-02-07,Russia,Cross-border points,Entry,97.8607973
2022-02-08,Russia,Cross-border points,Entry,82.8372177
2022-02-09,Russia,Cross-border points,Entry,78.7685372
2022-02-10,Russia,Cross-border points,Entry,57.23245284
2022-02-11,Russia,Cross-border points,Entry,52.1491832
2022-02-12,Russia,Cross-border points,Entry,52.013017379999994
2022-02-13,Russia,Cross-border points,Entry,50.9527578
2022-02-14,Russia,Cross-border points,Entry,61.5333389
2022-02-15,Russia,Cross-border points,Entry,69.2059695
2022-02-16,Russia,Cross-border points,Entry,53.5677907
2022-02-17,Russia,Cross-border points,Entry,50.5322539
2022-02-18,Russia,Cross-border points,Entry,47.290347
2022-02-19,Russia,Cross-border points,Entry,46.8574611
2022-02-20,Russia,Cross-border points,Entry,47.7593701
2022-02-21,Russia,Cross-border points,Entry,50.783718799999995
2022-02-22,Russia,Cross-border points,Entry,50.3920619
2022-02-23,Russia,Cross-border points,Entry,60.565541
2022-02-24,Russia,Cross-border points,Entry,83.047361
2022-02-25,Russia,Cross-border points,Entry,109.437195
2022-02-26,Russia,Cross-border points,Entry,109.525913
