date_floor,Door Wit-Rusland (YAMAL-Europe),Door Oekraïne,"Nordstream, Turkstream en door Baltische regio"
2021-01-03,777.2,870.4,1393.9
2021-01-10,805.6,872.8,1458.6
2021-01-17,834.8,871.4,1477.1
2021-01-24,830.7,873.5,1457.2
2021-01-31,806,832.4,1460.1
2021-02-07,816.9,840.3,1461.9
2021-02-14,728.9,691.5,1490.1000000000001
2021-02-21,628.3,559.3,1432.7
2021-02-28,750.2,800.9,1445.7
2021-03-07,752.2,796.3,1464.3
2021-03-14,759.3,857.2,1463.5
2021-03-21,763.3,863.4,1495.5
2021-03-28,761.5,859.1,1455.4
2021-04-04,695.2,867.2,1459.7
2021-04-11,682.2,870.7,1458.2
2021-04-18,769.7,867.2,1452.5
2021-04-25,807.9,868,1453.2
2021-05-02,766.3,871.9,1469.1
2021-05-09,758,872.2,1496.4
2021-05-16,762.7,872.2,1470.2
2021-05-23,758.3,870.7,1530.7
2021-05-30,758.9,869.6,1487.6
2021-06-06,698.5,866.2,1460.5
2021-06-13,753.4,870.5,1545.7
2021-06-20,768.2,868.1,1308
2021-06-27,765.6,867.6,1454
2021-07-04,421.6,869.7,1500.8
2021-07-11,761.1,870.2,651
2021-07-18,757.5,870.4,716.6
2021-07-25,729,869.4,1529.7
2021-08-01,492,867.6999999999999,1465.2
2021-08-08,366.8,867.3,1500.1
2021-08-15,403.7,871.4,1507.2
2021-08-22,602.6,870.3,1554.2
2021-08-29,585.6,803.5,1503.9
2021-09-05,588.4,760,1433.9
2021-09-12,673.4,761.4,1450.8
2021-09-19,750.6,763.2,1442.4
2021-09-26,505.4,713.1,1401.4
2021-10-03,296.4,599.8,1513.2
2021-10-10,318.4,602,1503
2021-10-17,290.4,602,1481.7
2021-10-24,289.8,586.5,1503.7
2021-10-31,123.6,546.9,1398.4
2021-11-07,234.4,715.6,1431.3
2021-11-14,358,765.9,1454.9
2021-11-21,383.6,766,1454.6
2021-11-28,389.3,766.2,1509.5
2021-12-05,398.2,766.5,1552.2
2021-12-12,377.2,767.5,1530.3
2021-12-19,217.4,697.6,1568.1
2021-12-26,167.9,653.4,1514.3
2022-01-02,64.3,358.5,1313.2
2022-01-09,37.2,355.4,1356.1
2022-01-16,35,317.3,1375.2
2022-01-23,37.6,432.8,1390.2
2022-01-30,140.8,578.8,1465.5
2022-02-06,165.5,510.5,1450
