"geo","winterConsumptionGWh","dailyWinterConsumptionGWh","country_name_nl","gasInStorage","full","consumptionDays"
"Austria",34348.5471180556,373.353773022343,"Oostenrijk",37.658,39.44,100.864120630559
"Belgium",62764.4618055555,682.222410929952,"België",5.8112,64.56,8.51804324645189
"Bulgaria",11364.4002430556,123.52608959843,"Bulgarije",3.886,66.85,31.4589412862738
"Croatia",10558.1104811508,114.762070447291,"Kroatië",3.3288,63.81,29.0060992018166
"Czechia",34152.8463888889,371.226591183575,"Tsjechië",24.0896,66.93,64.8919031451804
"Denmark",12398.1978819444,134.763020455918,"Denemarken",6.6737,73.5,49.5217454864261
"France",183966.519201389,1999.63607827597,"Frankrijk",86.3666,67.23,43.1911591005415
"Germany",331704.471666667,3605.48338768116,"Duitsland",142.2864,59.04,39.4638900531755
"Hungary",41855.2703819444,454.948591108092,"Hongarije",40.49,59.81,88.9990666887898
"Italy",265244.201388889,2883.0891455314,"Italië",155.2172,78.5,53.8371143468028
"Latvia",5172.24434027778,56.2200471769324,"Letland",13.1214,60.19,233.3936141801
"Netherlands",134337.029375,1460.18510190217,"Nederland",66.0807,45.95,45.2550158975852
"Poland",64104.1145833333,696.783854166667,"Polen",33.1195,92.54,47.5319567207968
"Portugal",15062.3147916667,163.720812952899,"Portugal",2.7968,78.34,17.0827395097569
"Romania",41883.7847222222,455.258529589372,"Roemenië",20.3627,61.72,44.7277726314463
"Slovakia",19940.4464236111,216.743982865338,"Slowakije",21.8988,56.52,101.035330764433
"Spain",101712.465277778,1105.57027475845,"Spanje",24.1506,70.52,21.844472985018
"Sweden",4029.23611111111,43.7960446859903,"Zweden",0.0069,66.42,0.157548473828441
"Ukraine",129220.833333333,1404.57427536232,"Oekraïne",109.2267,34.34,77.7649868119821
"United Kingdom",286767.469623016,3117.03771329365,"Verenigd Koninkrijk",9.2438,95.57,2.96557207523564
